,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
58,3997595335,Дневной велозаезд по солнечному Спб осеннему,2020-09-01T16:20:02Z,Ride,19404.3,7188,20718,247.4,"[59.94226, 30.326353]",741AF4F3-DB15-4C02-80A0-9A01EF31AD2C-activity.fit
59,3994923898,В Пскове дощъ,2020-09-01T10:37:41Z,Ride,11789.0,4469,7608,72.5,"[57.806967, 28.367092]",9790B73A-DD81-4CE6-8653-F9F45F4FBD33-activity.fit
60,3983488919,Вечерний велозаезд в идею за полочками,2020-08-29T18:49:28Z,Ride,31087.1,6551,12006,209.1,"[55.637814, 37.697933]",25F01424-587E-4BC0-B638-B042C309AB79-activity.fit
61,3974242641,Вечерний велозаезд первый раз в Мегу через копотню и рынок не понраивлось,2020-08-27T18:43:38Z,Ride,27544.7,5958,8286,182.3,"[55.637104, 37.699473]",CCEA115B-3715-4D09-9962-1DE59C2166A5-activity.fit
62,3972659244,Вечерний велозаезд по Орехову,2020-08-26T20:06:08Z,Ride,18513.3,4521,67603,128.6,"[55.637531, 37.69845]",5963FA65-7BE8-4AB9-B759-EB673B878009-activity.fit
63,3932487308,Вечерний велозаезд от Каланчевской по набережной,2020-08-18T19:25:52Z,Ride,23124.8,5827,9629,100.3,"[55.638134, 37.698292]",5C3746E7-1A46-4C99-9457-F32976986E3A-activity.fit
64,3931262821,Икша - Пушкин,2020-08-18T14:50:03Z,Ride,46440.5,9784,12968,357.0,"[56.064408, 37.86751]",85C79A82-27CA-498B-8158-B623A1B670AB-activity.fit
65,3927287891,Дневной велозаезд по Спб через центр,2020-08-17T11:15:14Z,Ride,9976.5,3033,36321,121.4,"[59.925871, 30.363514]",D8F582C6-9B0E-4F72-B7FF-1EC01DFCAA07-activity.fit
66,3923557240,Вечерний велозаезд по Спб,2020-08-16T18:00:01Z,Ride,14967.9,4755,19237,82.9,"[59.915018, 30.296252]",897C60AE-BCDA-4AA6-B382-3EDAB0158163-activity.fit
67,3920454840,Старая Русса - Новгород,2020-08-16T04:37:34Z,Ride,129754.0,24192,30743,327.0,"[58.52678, 31.250602]",9BF612D2-EBE1-48B3-B80C-758595CA94ED-activity.fit
68,3889221268,Волга - Мышкин - Углич - Калязин,2020-08-09T09:59:17Z,Ride,129777.0,22449,39178,496.6,"[57.240823, 37.828361]",D6CC92A6-90B4-4D56-B883-FC0E1BAA6CF8-activity.fit
69,3884049015,Тураев - Рыбинск,2020-08-08T09:40:30Z,Ride,126355.0,24202,40073,690.0,"[58.05396, 38.838368]",6583793C-8ECC-497C-A5E8-62806D1CA9FC-activity.fit
70,3880804643,Рано утром по Ярославлю до пригородного поезда,2020-08-08T07:55:25Z,Ride,8420.5,2500,3314,32.6,"[57.62594, 39.834528]",DB0A3379-24A3-4304-83C6-A550A210BFB2-activity.fit
